Skill,Student A,Student B,Student C
Math,85,72,90
Physics,78,88,75
Chemistry,92,65,82
Biology,70,91,88
English,88,79,93
History,75,84,70
Geography,82,76,85
Computer Science,95,90,78
Art,68,72,80
Music,73,85,92
Physical Education,90,88,85
Economics,80,78,88
Literature,77,90,82
Communication,85,95,91
Critical Thinking,88,82,87
Creativity,72,78,95
Leadership,90,70,84
Teamwork,85,92,89
Problem Solving,93,85,91
Time Management,80,88,86
Research,87,81,93
Presentation,82,90,88
Writing,78,87,85
Reading,90,75,92
Listening,85,93,80
Speaking,88,80,95
Analysis,92,88,87
Synthesis,75,92,90
Evaluation,88,85,93
Application,90,91,88
Understanding,85,87,92
Remembering,93,90,88
Digital Literacy,95,82,85
Social Skills,78,95,90
Emotional Intelligence,82,88,93
Self-Awareness,88,85,91
Adaptability,90,93,87
Resilience,85,90,92
Initiative,92,78,89
Responsibility,88,92,95
Ethics,90,88,93
Integrity,95,90,92
Respect,88,95,90
Empathy,82,92,95
Cultural Awareness,85,88,93
Environmental Awareness,90,85,91
Financial Literacy,78,82,88
Health Literacy,85,90,92
Media Literacy,88,85,90
Information Literacy,92,88,93
Civic Responsibility,85,92,88
Global Awareness,90,88,95
Innovation,87,90,92
Entrepreneurship,82,85,90
Strategic Thinking,90,92,88
Decision Making,88,90,93
Negotiation,85,87,91
Conflict Resolution,92,85,90
Stress Management,88,93,87
Goal Setting,90,88,95
Self-Motivation,85,90,92
Continuous Learning,93,92,90
Reflection,88,85,93
Metacognition,90,88,91
Memory,85,90,88
Attention,92,87,95
Perception,88,93,90
Reasoning,90,85,92
Judgment,87,92,93
Intuition,85,88,91
Imagination,82,78,95
Visualization,90,85,88
Conceptualization,88,92,90
Abstraction,85,90,93
Generalization,92,88,87
Specialization,88,85,92
Integration,90,93,88
Differentiation,85,90,95
Optimization,92,87,90
Collaboration,88,95,92
Coordination,85,88,93
Organization,90,92,88
Planning,88,87,95
Execution,92,90,91
Monitoring,85,93,88
Evaluation Skills,90,88,95
Feedback,88,92,93
Iteration,85,90,91
Experimentation,92,85,90
Observation,88,93,87
Documentation,90,88,95
Communication Skills,85,95,92
